"Nombre De La Escuela",Turno,Delegación,Colonia,Sostenimiento,Modalidad,"Total De Alumnos","Alumnos Evaluados","Comunicación: Insuficiente","Comunicación: Elemental","Comunicación: Bueno","Comunicación: Excelente","Matemáticas: Insuficiente","Matemáticas: Elemental","Matemáticas: Bueno","Matemáticas: Excelente"
"CECYT 8 NARCISO BASSOLS",MATUTINO,"MIGUEL HIDALGO",POPOTLA,PUBLICO,"BACHILLERATO TECNOLOGICO",500,408,"  4.8"," 25.0"," 62.6","  7.6","  1.2"," 14.4"," 35.2"," 49.1"
"CECYT 9 JUAN DE DIOS BATIZ",MATUTINO,"MIGUEL HIDALGO","SANTO TOMAS",PUBLICO,"BACHILLERATO TECNOLOGICO",350,314,"  0.3","  0.6"," 48.6"," 50.5","  0.0","  0.6","  2.9"," 96.5"
"CECYT 9 JUAN DE DIOS BATIZ",VESPERTINO,"MIGUEL HIDALGO","SANTO TOMAS",PUBLICO,"BACHILLERATO TECNOLOGICO",343,193,"  0.0","  3.1"," 59.6"," 37.3","  0.0","  0.0","  5.7"," 94.3"
"CECYT 10 CARLOS VALLEJO MARQUEZ",MATUTINO,AZCAPOTZALCO,"DEL GAS",PUBLICO,"BACHILLERATO TECNOLOGICO",668,496,"  8.5"," 30.7"," 57.0","  3.8","  4.8"," 31.9"," 37.2"," 26.1"
"CECYT 10 CARLOS VALLEJO MARQUEZ",VESPERTINO,AZCAPOTZALCO,"DEL GAS",PUBLICO,"BACHILLERATO TECNOLOGICO",441,212,"  9.4"," 28.6"," 58.9","  3.1"," 10.9"," 42.5"," 30.6"," 16.1"
"CECYT 11 WILFRIDO MASSIEU",VESPERTINO,CUAUHTEMOC,CENTRO,PUBLICO,"BACHILLERATO TECNOLOGICO",538,353,"  5.8"," 27.7"," 58.3","  8.2","  3.4"," 22.7"," 40.5"," 33.3"
"CECYT 14 LUIS ENRIQUE ERRO",MATUTINO,"VENUSTIANO CARRANZA",MICHOACANA,PUBLICO,"BACHILLERATO TECNOLOGICO",278,261,"  1.9"," 18.2"," 66.3"," 13.6","  2.3"," 29.7"," 43.4"," 24.6"
"CECYT 15 DIODORO ANTUNEZ ECHEGARAY",MATUTINO,"MILPA ALTA","PUEBLO SAN ANTONIO TECOMITL",PUBLICO,"BACHILLERATO TECNOLOGICO",289,241,"  0.8"," 16.2"," 76.8","  6.2","  3.8"," 28.5"," 41.7"," 26.0"
"CECYT 15 DIODORO ANTUNEZ ECHEGARAY",VESPERTINO,"MILPA ALTA","PUEBLO SAN ANTONIO TECOMITL",PUBLICO,"BACHILLERATO TECNOLOGICO",292,164,"  1.9"," 21.1"," 71.4","  5.6","  2.6"," 31.8"," 40.3"," 25.3"
"CET 17 WALTER CROSS BUCHANAN",VESPERTINO,"GUSTAVO A. MADERO","SAN JUAN DE ARAGON",PUBLICO,"BACHILLERATO TECNOLOGICO",278,208,"  6.4"," 33.5"," 56.2","  3.9","  0.0"," 24.8"," 41.6"," 33.7"
"CENTRO NACIONAL DE TALENTOS DEPORTIVOS Y ALTO RENDIMIENTO",MATUTINO,IZTACALCO,IZTACALCO,PUBLICO,"BACHILLERATO GENERAL",45,34," 15.6"," 28.1"," 50.0","  6.3"," 11.8"," 58.8"," 23.5","  5.9"
"THE AMERICAN SCHOOL FOUNDATION AC",MATUTINO,"ALVARO OBREGON","LAS AMERICAS",PRIVADO,"BACHILLERATO GENERAL",144,137,"  8.2"," 18.7"," 41.0"," 32.1","  2.2"," 14.1"," 30.4"," 53.3"
"UNIVERSIDAD PANAMERICANA -PREPARATORIA CAMPUS YAOCALLI",MATUTINO,TLALPAN,"MIGUEL HIDALGO",PRIVADO,"BACHILLERATO GENERAL",59,59,"  3.5","  8.8"," 56.1"," 31.6","  1.8"," 22.8"," 35.1"," 40.4"
"UNIVERSIDAD PANAMERICANA",MATUTINO,"ALVARO OBREGON",CHIMALISTAC,PRIVADO,"BACHILLERATO GENERAL",180,178,"  0.0","  5.1"," 43.5"," 51.4","  0.0","  2.2"," 10.1"," 87.6"
"COLEGIO FRANCES HIDALGO DE MEXICO",MATUTINO,"GUSTAVO A. MADERO","SANTA ISABEL TOLA",PRIVADO,"BACHILLERATO GENERAL",35,34,"  0.0","  5.9"," 73.5"," 20.6"," 14.7"," 23.5"," 41.2"," 20.6"
"PREPARATORIA ROTTERDAM",MATUTINO,COYOACAN,OXTOPULCO,PRIVADO,"BACHILLERATO GENERAL",28,27,"  3.7"," 22.2"," 59.3"," 14.8"," 22.2"," 29.6"," 33.3"," 14.8"
"INSTITUTO ESPERANZA",MATUTINO,"MIGUEL HIDALGO",TACUBA,PRIVADO,"BACHILLERATO GENERAL",18,18," 16.7"," 11.1"," 72.2","  0.0"," 16.7"," 44.4"," 22.2"," 16.7"
"COLEGIO WILLIAMS",MATUTINO,"BENITO JUAREZ","INSURGENTES MIXCOAC",PRIVADO,"BACHILLERATO GENERAL",35,33," 15.2"," 33.3"," 39.4"," 12.1","  9.1"," 48.5"," 21.2"," 21.2"
"COLEGIO CULTURA PREHISPANICA, S.C.",MATUTINO,IZTAPALAPA,IZTAPALAPA,PRIVADO,"BACHILLERATO GENERAL",6,6,"  0.0"," 50.0"," 16.7"," 33.3"," 16.7"," 33.3"," 16.7"," 33.3"
"CENTRO CULTURAL DE LA CIUDAD DE MEXICO",MATUTINO,CUAUHTEMOC,"SANTA MARIA LA RIBERA",PRIVADO,"BACHILLERATO GENERAL",14,12,"  0.0","  0.0"," 66.7"," 33.3","  0.0"," 41.7"," 33.3"," 25.0"
"INSTITUTO EDUCATIVO OLINCA",MATUTINO,COYOACAN,"PEDREGAL DE CARRASCO",PRIVADO,"BACHILLERATO GENERAL",59,56,"  1.8"," 14.3"," 62.5"," 21.4","  3.6"," 16.4"," 32.7"," 47.3"
"C.E. TOMAS MORO",MATUTINO,"CUAJIMALPA DE MORELOS","SAN JOSE DE LOS CEDROS",PRIVADO,"BACHILLERATO GENERAL",48,47,"  2.1"," 12.8"," 59.6"," 25.5","  0.0"," 17.0"," 36.2"," 46.8"
"CENTRO CULTURAL ANAHUAC S.C.",MATUTINO,IZTAPALAPA,"EL SIFON",PRIVADO,"BACHILLERATO GENERAL",39,35," 22.9"," 48.6"," 20.0","  8.6"," 20.0"," 62.9","  8.6","  8.6"
"INSTITUTO CANADIENSE CLARAC",MATUTINO,XOCHIMILCO,XOCHIMILCO,PRIVADO,"BACHILLERATO GENERAL",30,29," 10.7"," 42.9"," 39.3","  7.1"," 13.8"," 34.5"," 17.2"," 34.5"
"INSTITUTO FELIX DE JESUS ROUGIER",MATUTINO,"ALVARO OBREGON",FLORIDA,PRIVADO,"BACHILLERATO GENERAL",19,19,"  0.0"," 36.8"," 42.1"," 21.1","  5.3"," 42.1"," 21.1"," 31.6"
"BACHILLERATO C.C.H. COLEGIO MADRID",MATUTINO,TLALPAN,TLALPAN,PRIVADO,"BACHILLERATO GENERAL",103,89,"  8.2"," 18.8"," 52.9"," 20.0","  3.4"," 21.6"," 34.1"," 40.9"
"UNIVERSIDAD LATINA, S.C. (CAMPUS SUR)",MATUTINO,COYOACAN,COYOACAN,PRIVADO,"BACHILLERATO TECNOLOGICO",129,114," 36.2"," 40.0"," 22.9","  1.0"," 40.4"," 43.1"," 11.0","  5.5"
"EL ROSARIO",MATUTINO,AZCAPOTZALCO,"UNIDAD INFONAVIT EL ROSARIO",PUBLICO,"BACHILLERATO GENERAL",722,651," 13.2"," 43.4"," 41.7","  1.7"," 27.6"," 50.9"," 18.3","  3.3"
"EL ROSARIO",VESPERTINO,AZCAPOTZALCO,"UNIDAD INFONAVIT EL ROSARIO",PUBLICO,"BACHILLERATO GENERAL",535,443," 12.4"," 46.2"," 41.1","  0.2"," 34.8"," 49.1"," 13.6","  2.5"
"CIEN METROS ELISA ACU@A ROSSETTI",MATUTINO,"GUSTAVO A. MADERO","INDUSTRIAL VALLEJO",PUBLICO,"BACHILLERATO GENERAL",976,779," 10.5"," 35.4"," 51.1","  3.1"," 22.8"," 54.0"," 19.7","  3.5"
