"Nombre De La Escuela",Turno,Delegación,Colonia,Sostenimiento,Modalidad,"Total De Alumnos","Alumnos Evaluados","Comunicación: Insuficiente","Comunicación: Elemental","Comunicación: Bueno","Comunicación: Excelente","Matemáticas: Insuficiente","Matemáticas: Elemental","Matemáticas: Bueno","Matemáticas: Excelente"
IZTACALCO,VESPERTINO,IZTACALCO,"UNIDAD HABITACIONAL INFONAVIT",PUBLICO,"BACHILLERATO GENERAL",492,355," 17.0"," 43.4"," 39.4","  0.3"," 23.9"," 58.0"," 15.6","  2.6"
CUAJIMALPA,MATUTINO,"CUAJIMALPA DE MORELOS","EL MOLINITO",PUBLICO,"BACHILLERATO GENERAL",341,307," 11.6"," 39.8"," 47.6","  1.0"," 28.5"," 51.5"," 17.0","  3.0"
CUAJIMALPA,VESPERTINO,"CUAJIMALPA DE MORELOS","EL MOLINITO",PUBLICO,"BACHILLERATO GENERAL",215,145," 27.2"," 47.8"," 24.3","  0.7"," 33.1"," 53.1","  9.7","  4.1"
ARAGON,MATUTINO,"GUSTAVO A. MADERO","UNIDAD SAN JUAN DE ARAGON 6A SECCIO",PUBLICO,"BACHILLERATO GENERAL",639,488," 11.9"," 42.1"," 45.0","  1.0"," 29.1"," 55.5"," 12.4","  3.1"
ARAGON,VESPERTINO,"GUSTAVO A. MADERO","UNIDAD SAN JUAN DE ARAGON 6A SECCIO",PUBLICO,"BACHILLERATO GENERAL",302,143," 23.4"," 47.9"," 28.7","  0.0"," 46.0"," 49.6","  2.9","  1.5"
"NUEVA ATZACOALCO",MATUTINO,"GUSTAVO A. MADERO","GABRIEL HERNANDEZ",PUBLICO,"BACHILLERATO GENERAL",339,291," 15.8"," 38.8"," 42.1","  3.3"," 42.7"," 43.4"," 11.7","  2.1"
"NUEVA ATZACOALCO",VESPERTINO,"GUSTAVO A. MADERO","GABRIEL HERNANDEZ",PUBLICO,"BACHILLERATO GENERAL",240,168," 19.0"," 51.0"," 29.4","  0.7"," 45.1"," 46.3","  7.4","  1.2"
"XOCHIMILCO TEPEPAN QUIRINO MENDOZA CARDENAS",VESPERTINO,XOCHIMILCO,"TEPEPAN AMPLIACION",PUBLICO,"BACHILLERATO GENERAL",387,278," 12.3"," 37.9"," 44.2","  5.6"," 21.3"," 57.7"," 19.1","  1.8"
"MILPA ALTA FIDENCIO VILLANUEVA ROJAS",VESPERTINO,"MILPA ALTA","VILLA MILPA ALTA CENTRO",PUBLICO,"BACHILLERATO GENERAL",173,131," 10.8"," 50.8"," 36.9","  1.5"," 27.7"," 61.5","  9.2","  1.5"
"TLAHUAC MANUEL CHAVARRIA CHAVARRIA",VESPERTINO,TLAHUAC,"SAN FRANCISCO TLALTENCO",PUBLICO,"BACHILLERATO GENERAL",236,205," 22.6"," 39.2"," 36.7","  1.5"," 36.5"," 53.2","  9.4","  1.0"
"HUAYAMIPAS PEDREGAL",VESPERTINO,COYOACAN,"AJUSCO HUAYAMILPAS",PUBLICO,"BACHILLERATO GENERAL",206,95," 12.9"," 31.8"," 54.1","  1.2"," 30.9"," 48.9"," 17.0","  3.2"
"TLILHUACA AZCAPOTZALCO",MATUTINO,AZCAPOTZALCO,"SAN JUAN TLIHUACA",PUBLICO,"BACHILLERATO GENERAL",438,376,"  9.2"," 39.6"," 49.3","  1.9"," 35.7"," 49.6"," 12.5","  2.1"
"TLILHUACA AZCAPOTZALCO",VESPERTINO,AZCAPOTZALCO,"SAN JUAN TLIHUACA",PUBLICO,"BACHILLERATO GENERAL",193,169," 23.0"," 42.4"," 33.3","  1.2"," 52.1"," 40.8","  5.9","  1.2"
"DEL VALLE MATIAS ROMERO",MATUTINO,"BENITO JUAREZ","DEL VALLE",PUBLICO,"BACHILLERATO GENERAL",381,310,"  3.4"," 21.5"," 67.8","  7.4"," 14.2"," 41.4"," 34.8","  9.6"
"DEL VALLE MATIAS ROMERO",VESPERTINO,"BENITO JUAREZ","DEL VALLE",PUBLICO,"BACHILLERATO GENERAL",223,135,"  9.4"," 27.3"," 60.2","  3.1"," 19.7"," 50.8"," 22.0","  7.6"
"IGNACIO M. ALTAMIRANO",MATUTINO,"MIGUEL HIDALGO",ESCANDON,PRIVADO,"BACHILLERATO GENERAL",10,9," 11.1"," 22.2"," 66.7","  0.0"," 66.7"," 33.3","  0.0","  0.0"
"INSTITUTO CULTURAL FRANCES A.C.",MATUTINO,"MIGUEL HIDALGO",PERIODISTA,PRIVADO,"BACHILLERATO GENERAL",23,22,"  4.8"," 33.3"," 61.9","  0.0"," 40.9"," 36.4"," 18.2","  4.5"
"INSTITUTO COBRE DE MEXICO",MATUTINO,AZCAPOTZALCO,"OBRERO POPULAR",PRIVADO,"BACHILLERATO GENERAL",19,18,"  5.9"," 41.2"," 47.1","  5.9"," 33.3"," 33.3"," 27.8","  5.6"
"OSCAR GONZALEZ BLAKALLER",MATUTINO,"GUSTAVO A. MADERO","SAN BARTOLO ATEPEHUACAN",PRIVADO,"BACHILLERATO GENERAL",10,10," 10.0"," 10.0"," 70.0"," 10.0"," 30.0"," 40.0"," 20.0"," 10.0"
"INSTITUTO PEDAGOGICO IBEROAMERICANO",MATUTINO,IZTAPALAPA,"GRANJAS ESMERALDA",PRIVADO,"BACHILLERATO GENERAL",13,13,"  0.0"," 23.1"," 53.8"," 23.1","  7.7","  0.0"," 61.5"," 30.8"
"ANGEL DE CAMPO",MATUTINO,IZTAPALAPA,"SAN SEBASTIAN TECOLOXTITLAN",PRIVADO,"BACHILLERATO GENERAL",9,7,"  0.0","  0.0",100.0,"  0.0","  0.0"," 42.9"," 28.6"," 28.6"
"COLEGIO BOSQUES CONTADERO",MATUTINO,"CUAJIMALPA DE MORELOS",CUAJIMALPA,PRIVADO,"BACHILLERATO GENERAL",7,7," 28.6"," 42.9"," 14.3"," 14.3"," 57.1"," 28.6"," 14.3","  0.0"
"SOR JUANA INES DE LA CRUZ",MATUTINO,CUAUHTEMOC,CONDESA,PRIVADO,"BACHILLERATO GENERAL",7,5," 40.0"," 40.0"," 20.0","  0.0"," 20.0","  0.0"," 80.0","  0.0"
"CONALEP ARAGON",MATUTINO,"GUSTAVO A. MADERO","UNIDAD SAN JUAN DE ARAGON",PUBLICO,"TECNICO PROFESIONAL",263,233," 11.2"," 41.1"," 45.1","  2.7"," 31.7"," 43.2"," 16.7","  8.4"
"CONALEP ARAGON",VESPERTINO,"GUSTAVO A. MADERO","UNIDAD SAN JUAN DE ARAGON",PUBLICO,"TECNICO PROFESIONAL",221,191," 22.6"," 46.2"," 30.6","  0.5"," 54.7"," 41.6","  3.7","  0.0"
"CONALEP TICOMAN",VESPERTINO,"GUSTAVO A. MADERO","GUSTAVO A. MADERO",PUBLICO,"TECNICO PROFESIONAL",164,142," 30.5"," 48.9"," 20.6","  0.0"," 55.7"," 35.0","  9.3","  0.0"
"CONALEP XOCHIMILCO",VESPERTINO,XOCHIMILCO,TEPEPAN,PUBLICO,"TECNICO PROFESIONAL",214,180," 30.5"," 52.5"," 16.4","  0.6"," 54.7"," 35.8","  6.7","  2.8"
"CONALEP IZTAPALAPA I",MATUTINO,IZTAPALAPA,IZTAPALAPA,PUBLICO,"TECNICO PROFESIONAL",145,119," 25.2"," 54.1"," 20.7","  0.0"," 52.6"," 41.2","  3.5","  2.6"
"CONALEP IZTAPALAPA I",VESPERTINO,IZTAPALAPA,IZTAPALAPA,PUBLICO,"TECNICO PROFESIONAL",149,69," 25.0"," 54.7"," 20.3","  0.0"," 61.9"," 28.6","  7.9","  1.6"
"CONALEP AZTAHUACAN",MATUTINO,IZTAPALAPA,"SANTA MARIA AZTAHUACAN",PUBLICO,"TECNICO PROFESIONAL",349,317," 33.0"," 47.9"," 18.4","  0.6"," 62.3"," 30.4","  6.4","  1.0"
"CONALEP AZTAHUACAN",VESPERTINO,IZTAPALAPA,"SANTA MARIA AZTAHUACAN",PUBLICO,"TECNICO PROFESIONAL",201,171," 41.5"," 41.5"," 15.8","  1.2"," 74.7"," 20.6","  4.1","  0.6"
"CONALEP VENUSTIANO CARRANZA I",MATUTINO,"VENUSTIANO CARRANZA","ARTES GRAFICAS",PUBLICO,"TECNICO PROFESIONAL",262,218," 35.6"," 40.7"," 23.1","  0.5"," 45.2"," 44.7","  7.4","  2.8"
"CONALEP AZCAPOTZALCO",MATUTINO,AZCAPOTZALCO,"SANTA CATARINA",PUBLICO,"TECNICO PROFESIONAL",308,257," 28.2"," 49.6"," 21.4","  0.8"," 47.8"," 44.7","  7.5","  0.0"
"CONALEP AZCAPOTZALCO",VESPERTINO,AZCAPOTZALCO,"SANTA CATARINA",PUBLICO,"TECNICO PROFESIONAL",87,72," 43.1"," 41.7"," 15.3","  0.0"," 66.7"," 27.8","  5.6","  0.0"
"CONALEP AEROPUERTO",VESPERTINO,"VENUSTIANO CARRANZA","ARENAL 3A SECCION",PUBLICO,"TECNICO PROFESIONAL",140,93," 27.6"," 56.3"," 16.1","  0.0"," 44.6"," 44.6","  9.8","  1.1"
"CONALEP SANTA FE",MATUTINO,"CUAJIMALPA DE MORELOS","LAS TINAJAS",PUBLICO,"TECNICO PROFESIONAL",125,112," 21.9"," 42.9"," 33.3","  1.9"," 43.1"," 45.9","  9.2","  1.8"
"CONALEP SANTA FE",VESPERTINO,"CUAJIMALPA DE MORELOS","LAS TINAJAS",PUBLICO,"TECNICO PROFESIONAL",232,187," 35.9"," 46.4"," 17.7","  0.0"," 63.4"," 31.1","  4.9","  0.5"
"CONALEP COMERCIO Y FOMENTO INDUSTRIAL",MATUTINO,"LA MAGDALENA CONTRERAS",HUAYATLA,PUBLICO,"TECNICO PROFESIONAL",217,200," 46.2"," 40.1"," 13.7","  0.0"," 52.3"," 40.7","  6.0","  1.0"
"CONALEP COMERCIO Y FOMENTO INDUSTRIAL",VESPERTINO,"LA MAGDALENA CONTRERAS",HUAYATLA,PUBLICO,"TECNICO PROFESIONAL",154,123," 31.4"," 43.0"," 25.6","  0.0"," 61.5"," 34.4","  2.5","  1.6"
"CONALEP GUSTAVO A. MADERO I",MATUTINO,"GUSTAVO A. MADERO","CUAUTEPEC BARRIO BAJO",PUBLICO,"TECNICO PROFESIONAL",235,181," 23.7"," 45.7"," 28.3","  2.3"," 57.9"," 31.5","  9.0","  1.7"
"CONALEP GUSTAVO A. MADERO I",VESPERTINO,"GUSTAVO A. MADERO","CUAUTEPEC BARRIO BAJO",PUBLICO,"TECNICO PROFESIONAL",144,109," 42.6"," 45.4"," 12.0","  0.0"," 63.9"," 29.6","  5.6","  0.9"
"CONALEP IZTAPALAPA II",MATUTINO,IZTAPALAPA,TEPALCATES,PUBLICO,"TECNICO PROFESIONAL",225,195," 22.3"," 37.0"," 40.2","  0.5"," 38.5"," 41.7"," 16.6","  3.2"
"CONALEP IZTAPALAPA II",VESPERTINO,IZTAPALAPA,TEPALCATES,PUBLICO,"TECNICO PROFESIONAL",172,138," 19.1"," 39.7"," 38.2","  2.9"," 42.3"," 45.4"," 10.8","  1.5"
"CONALEP TLALPAN I",MATUTINO,TLALPAN,"TORIELLO GUERRA",PUBLICO,"TECNICO PROFESIONAL",294,224," 27.2"," 30.7"," 38.6","  3.5"," 37.7"," 46.1"," 11.3","  4.9"
"CONALEP MILPA ALTA",MATUTINO,"MILPA ALTA","SAN PABLO OZTOTEPEC",PUBLICO,"TECNICO PROFESIONAL",243,201," 20.4"," 47.8"," 31.2","  0.5"," 55.9"," 39.9","  4.3","  0.0"
"CONALEP IZTACALCO I",MATUTINO,IZTACALCO,"AGRICOLA PANTITLAN",PUBLICO,"TECNICO PROFESIONAL",243,214," 28.8"," 48.1"," 23.1","  0.0"," 48.8"," 38.4"," 10.9","  1.9"
"CONALEP IZTACALCO I",VESPERTINO,IZTACALCO,"AGRICOLA PANTITLAN",PUBLICO,"TECNICO PROFESIONAL",206,178," 52.1"," 33.7"," 14.2","  0.0"," 60.3"," 33.3","  4.0","  2.3"
"CONALEP IZTAPALAPA III",MATUTINO,IZTAPALAPA,"SAN JUAN XALPA",PUBLICO,"TECNICO PROFESIONAL",287,255," 27.6"," 44.0"," 28.4","  0.0"," 56.5"," 36.9","  5.1","  1.6"
"CONALEP IZTAPALAPA III",VESPERTINO,IZTAPALAPA,"SAN JUAN XALPA",PUBLICO,"TECNICO PROFESIONAL",180,157," 39.2"," 43.1"," 17.6","  0.0"," 65.6"," 27.4","  5.1","  1.9"
"CONALEP VENUSTIANO CARRANZA II",MATUTINO,"VENUSTIANO CARRANZA","ARENAL 3A SECCION",PUBLICO,"TECNICO PROFESIONAL",172,148," 12.3"," 37.7"," 50.0","  0.0"," 28.3"," 48.3"," 17.9","  5.5"
"CONALEP VENUSTIANO CARRANZA II",VESPERTINO,"VENUSTIANO CARRANZA","ARENAL 3A SECCION",PUBLICO,"TECNICO PROFESIONAL",155,139," 24.8"," 35.8"," 38.7","  0.7"," 43.1"," 43.1"," 11.7","  2.2"
"CONALEP IZTAPALAPA IV",VESPERTINO,IZTAPALAPA,"EL MOLINO  IZTAPALAPA",PUBLICO,"TECNICO PROFESIONAL",163,141," 22.1"," 53.6"," 22.1","  2.1"," 45.9"," 40.7"," 10.4","  3.0"
"CONALEP TLAHUAC",MATUTINO,TLAHUAC,"SELENE AMPLIACION",PUBLICO,"TECNICO PROFESIONAL",238,209," 21.7"," 42.9"," 35.0","  0.5"," 29.8"," 47.1"," 16.8","  6.3"
"CONALEP GUSTAVO A. MADERO II",MATUTINO,"GUSTAVO A. MADERO","NUEVA ATZACOALCO",PUBLICO,"TECNICO PROFESIONAL",245,220," 14.9"," 44.2"," 40.9","  0.0"," 25.6"," 47.5"," 20.1","  6.8"
"CENTRO DE ESTUDIOS DE BACHILLERATO 4/2 LIC. JESUS REYES HEROLES",MATUTINO,"ALVARO OBREGON","ALVARO OBREGON",PUBLICO,"BACHILLERATO GENERAL",289,255,"  5.2"," 25.5"," 64.9","  4.4"," 14.6"," 46.1"," 28.0"," 11.4"
"CENTRO DE ESTUDIOS DE BACHILLERATO 4/2 LIC. JESUS REYES HEROLES",VESPERTINO,"ALVARO OBREGON","ALVARO OBREGON",PUBLICO,"BACHILLERATO GENERAL",307,277," 14.7"," 47.6"," 37.4","  0.4"," 19.5"," 50.4"," 25.0","  5.1"
"INSTITUTO MORELOS",MATUTINO,"MIGUEL HIDALGO",TACUBA,PRIVADO,"BACHILLERATO GENERAL",20,20," 35.0"," 30.0"," 20.0"," 15.0"," 30.0"," 45.0"," 15.0"," 10.0"
"INSTITUTO ANGLO ESPANOL",MATUTINO,CUAUHTEMOC,"SAN RAFAEL",PRIVADO,"BACHILLERATO GENERAL",22,20," 15.0"," 15.0"," 55.0"," 15.0"," 20.0"," 40.0"," 15.0"," 25.0"
"INSTITUTO ANGLO ESPANOL",VESPERTINO,CUAUHTEMOC,"SAN RAFAEL",PRIVADO,"BACHILLERATO GENERAL",11,10,"  0.0"," 40.0"," 60.0","  0.0"," 30.0"," 30.0"," 30.0"," 10.0"
"COLEGIO MAKARENKO",MATUTINO,"GUSTAVO A. MADERO",INDUSTRIAL,PRIVADO,"BACHILLERATO GENERAL",108,92," 13.0"," 44.6"," 34.8","  7.6"," 29.3"," 47.8"," 18.5","  4.3"
"BERTA VON GLUMER",MATUTINO,CUAUHTEMOC,"ROMA NORTE",PRIVADO,"BACHILLERATO GENERAL",8,7," 14.3"," 14.3"," 42.9"," 28.6"," 14.3"," 28.6"," 42.9"," 14.3"
"AMADO NERVO",MATUTINO,"BENITO JUAREZ","SAN PEDRO DE LOS PINOS",PRIVADO,"BACHILLERATO GENERAL",9,9," 33.3"," 33.3"," 11.1"," 22.2"," 55.6"," 22.2"," 22.2","  0.0"
"ACADEMIA MODERNA",MATUTINO,COYOACAN,"PARQUE SAN ANDRES",PRIVADO,"BACHILLERATO GENERAL",16,16,"  6.7"," 53.3"," 33.3","  6.7"," 20.0"," 46.7"," 13.3"," 20.0"
"COLEGIO FRANCES JUANA DE ARCO SECCION BACHILLERATO",MATUTINO,"GUSTAVO A. MADERO","VILLA DE GUADALUPE",PRIVADO,"BACHILLERATO GENERAL",16,16," 18.8"," 25.0"," 56.3","  0.0"," 25.0"," 37.5"," 37.5","  0.0"
"INSTITUTO ESCUELA SUR",MATUTINO,TLALPAN,"MIGUEL HIDALGO",PRIVADO,"BACHILLERATO GENERAL",19,18," 20.0"," 13.3"," 60.0","  6.7","  5.6"," 33.3"," 33.3"," 27.8"
"COLEGIO LESTONNAC",MATUTINO,TLALPAN,"GRANJAS COAPA",PRIVADO,"BACHILLERATO GENERAL",19,17,"  0.0"," 17.6"," 58.8"," 23.5"," 11.8"," 47.1"," 17.6"," 23.5"
"NUEVA ESCUELA JUSTO SIERRA",MATUTINO,"GUSTAVO A. MADERO",LINDAVISTA,PRIVADO,"BACHILLERATO GENERAL",72,66," 21.3"," 29.5"," 44.3","  4.9"," 35.4"," 47.7"," 10.8","  6.2"
"ESCUELA CRISTOBAL COLON",MATUTINO,"GUSTAVO A. MADERO","LA ESCALERA",PRIVADO,"BACHILLERATO GENERAL",188,186," 18.9"," 23.3"," 49.4","  8.3","  6.5"," 30.1"," 32.8"," 30.6"
REIMS,MATUTINO,TLALPAN,"RINCONADA COAPA 1A SECCION",PRIVADO,"BACHILLERATO GENERAL",18,18," 11.1"," 22.2"," 66.7","  0.0"," 16.7"," 33.3"," 38.9"," 11.1"
"PREPARATORIA MIER Y PESADO",MATUTINO,COYOACAN,"DEL CARMEN",PRIVADO,"BACHILLERATO GENERAL",130,121,"  7.0"," 32.2"," 58.3","  2.6"," 14.2"," 41.7"," 31.7"," 12.5"
"COLEGIO BILBAO",MATUTINO,"CUAJIMALPA DE MORELOS","SAN MATEO TLALTENANGO",PRIVADO,"BACHILLERATO GENERAL",22,21,"  0.0"," 45.0"," 40.0"," 15.0"," 10.0"," 35.0"," 20.0"," 35.0"
"UNIVERSIDAD TECNOLOGICA DE MEXICO",MATUTINO,"MIGUEL HIDALGO","ANAHUAC I",PRIVADO,"BACHILLERATO GENERAL",265,153,"  8.7"," 32.7"," 53.3","  5.3"," 24.0"," 32.0"," 26.7"," 17.3"
"NARCISO BASSOLS",MATUTINO,IZTAPALAPA,"SANTA MARIA AZTAHUACAN",PRIVADO,"BACHILLERATO GENERAL",27,24," 29.2"," 41.7"," 29.2","  0.0"," 62.5"," 33.3","  4.2","  0.0"
"COLEGIO FRAY GARCIA CISNEROS",MATUTINO,"GUSTAVO A. MADERO",LINDAVISTA,PRIVADO,"BACHILLERATO GENERAL",16,11,"  9.1"," 36.4"," 54.5","  0.0","  9.1"," 54.5"," 27.3","  9.1"
"CENTRO CULTURAL UNIVERSITARIO JUSTO SIERRA",MATUTINO,"GUSTAVO A. MADERO","LA LAGUNA TICOMAN",PRIVADO,"BACHILLERATO GENERAL",44,41,"  4.9"," 41.5"," 46.3","  7.3"," 29.3"," 36.6"," 19.5"," 14.6"
"UNIVERSIDAD ANAHUAC, BACHILLERATO COLEGIO OXFORD",MATUTINO,"ALVARO OBREGON","OLIVAR DE LOS PADRES",PRIVADO,"BACHILLERATO GENERAL",53,48,"  0.0","  4.3"," 48.9"," 46.8","  0.0"," 17.0"," 42.6"," 40.4"
"UNIVERSIDAD ANAHUAC, BACHILLERATO CUMBRES",MATUTINO,"CUAJIMALPA DE MORELOS","LOMAS DE VISTA HERMOSA",PRIVADO,"BACHILLERATO GENERAL",104,91," 10.1"," 21.3"," 53.9"," 14.6","  5.5"," 19.8"," 31.9"," 42.9"
"UNIVERSIDAD ANAHUAC, BACHILLERATO ROSEDAL",MATUTINO,"CUAJIMALPA DE MORELOS","LOMAS DE VISTA HERMOSA",PRIVADO,"BACHILLERATO GENERAL",47,45,"  2.2","  2.2"," 73.3"," 22.2","  4.4"," 22.2"," 51.1"," 22.2"
"UNIVERSIDAD ANAHUAC, BACHILLERATO GODWIN",MATUTINO,TLALPAN,"TORIELLO GUERRA",PRIVADO,"BACHILLERATO GENERAL",26,25,"  0.0","  4.0"," 36.0"," 60.0","  0.0"," 20.0"," 28.0"," 52.0"
"UNIVERSIDAD ANAHUAC, BACHILLERATO DEL BOSQUE MEXICO",MATUTINO,"MIGUEL HIDALGO","MIGUEL HIDALGO",PRIVADO,"BACHILLERATO GENERAL",59,57,"  1.9"," 16.7"," 66.7"," 14.8","  0.0","  8.9"," 30.4"," 60.7"
"COLEGIO MARIE CURIE",MATUTINO,"GUSTAVO A. MADERO","GUSTAVO A. MADERO",PRIVADO,"BACHILLERATO GENERAL",13,13," 23.1"," 38.5"," 38.5","  0.0"," 23.1"," 69.2","  0.0","  7.7"
"INSTITUTO CULTURAL DERECHOS HUMANOS",MATUTINO,IZTAPALAPA,"SANTA MARTHA ACATITLA AMPLIACION",PRIVADO,"BACHILLERATO GENERAL",15,15," 50.0"," 50.0","  0.0","  0.0"," 66.7"," 33.3","  0.0","  0.0"
"COLEGIO QUIRINO MENDOZA CORTES",MATUTINO,XOCHIMILCO,"SANTIAGO TULYEHUALCO",PRIVADO,"BACHILLERATO GENERAL",29,24,"  0.0"," 31.8"," 63.6","  4.5"," 25.0"," 41.7"," 33.3","  0.0"
"INSTITUTO MODERNO DE ESTUDIOS CONTABLES Y COMERCIALES",MATUTINO,"GUSTAVO A. MADERO","SANTA ISABEL TOLA",PRIVADO,"BACHILLERATO GENERAL",45,31," 20.0"," 40.0"," 40.0","  0.0"," 38.7"," 58.1","  3.2","  0.0"
"COLEGIO AMAUTA",MATUTINO,"GUSTAVO A. MADERO","VILLA DE ARAGON",PRIVADO,"BACHILLERATO GENERAL",26,22," 10.5"," 36.8"," 52.6","  0.0"," 38.1"," 47.6","  9.5","  4.8"
"JOSE MARIA MORELOS Y PAVON",MATUTINO,IZTAPALAPA,"GRANJAS ESTRELLA",PRIVADO,"BACHILLERATO GENERAL",35,33," 12.1"," 24.2"," 54.5","  9.1"," 21.2"," 54.5"," 12.1"," 12.1"
"COLEGIO BRITANIA",MATUTINO,"ALVARO OBREGON","COLINAS DEL SUR",PRIVADO,"BACHILLERATO GENERAL",17,16," 28.6"," 28.6"," 28.6"," 14.3"," 43.8"," 50.0","  6.3","  0.0"
"PREPARATORIA SIMON BOLIVAR DEL PEDREGAL",MATUTINO,"ALVARO OBREGON","JARDINES DEL PEDREGAL",PRIVADO,"BACHILLERATO GENERAL",21,19," 22.2"," 38.9"," 27.8"," 11.1"," 31.6"," 42.1"," 10.5"," 15.8"
"PREPARATORIA POPULAR MARTIRES DE TLATELOLCO",MATUTINO,CUAUHTEMOC,CUAUHTEMOC,PRIVADO,"BACHILLERATO GENERAL",65,40," 45.9"," 40.5"," 13.5","  0.0"," 46.2"," 48.7","  2.6","  2.6"
"INSTITUTO CULTURAL ALFREDO HERRERA NAVA",MATUTINO,"GUSTAVO A. MADERO","GUSTAVO A. MADERO",PRIVADO,"BACHILLERATO GENERAL",6,4,"  0.0"," 50.0"," 50.0","  0.0"," 50.0"," 25.0"," 25.0","  0.0"
"DIEGO RIVERA",MATUTINO,"ALVARO OBREGON","CORPUS CHRISTI",PRIVADO,"BACHILLERATO GENERAL",24,22," 19.0"," 61.9"," 19.0","  0.0"," 45.5"," 54.5","  0.0","  0.0"
"RAFAEL GUIZAR Y VALENCIA",MATUTINO,TLAHUAC,TLAHUAC,PRIVADO,"BACHILLERATO GENERAL",100,42," 13.9"," 33.3"," 47.2","  5.6"," 25.6"," 38.5"," 30.8","  5.1"
"INSTITUTO DOMINGO SAVIO",MATUTINO,"MIGUEL HIDALGO","ARGENTINA PONIENTE",PRIVADO,"BACHILLERATO GENERAL",40,37," 14.3"," 31.4"," 51.4","  2.9"," 32.4"," 52.9","  8.8","  5.9"
"CENTRO ESCOLAR LANCASTER",MATUTINO,AZCAPOTZALCO,"LA PROVIDENCIA",PRIVADO,"BACHILLERATO GENERAL",11,9,"  0.0"," 44.4"," 33.3"," 22.2"," 33.3"," 22.2"," 11.1"," 33.3"
"LICEO EUROPEO",MATUTINO,"VENUSTIANO CARRANZA","VALENTIN GOMEZ FARIAS",PRIVADO,"BACHILLERATO GENERAL",69,62," 50.0"," 31.0"," 13.8","  5.2"," 56.7"," 30.0"," 11.7","  1.7"
"PREPARATORIA FREINET",MATUTINO,TLAHUAC,"SAN MATEO",PRIVADO,"BACHILLERATO GENERAL",8,8," 42.9"," 28.6"," 28.6","  0.0"," 50.0"," 50.0","  0.0","  0.0"
"UNIVERSIDAD ANAHUAC, BACHILLERATO INSTITUTO OXFORD",MATUTINO,"ALVARO OBREGON","OLIVAR DE LOS PADRES",PRIVADO,"BACHILLERATO GENERAL",60,58," 18.9"," 34.0"," 35.8"," 11.3","  5.4"," 33.9"," 32.1"," 28.6"
"PREPARATORIA EDUARDO JENNER",VESPERTINO,"GUSTAVO A. MADERO","SAN FELIPE DE JESUS",PRIVADO,"BACHILLERATO GENERAL",19,17," 17.6"," 41.2"," 41.2","  0.0"," 52.9"," 29.4"," 11.8","  5.9"
"INSTITUTO ABERDEEN",MATUTINO,CUAUHTEMOC,HIPODROMO,PRIVADO,"BACHILLERATO GENERAL",6,6," 16.7"," 66.7"," 16.7","  0.0"," 66.7"," 16.7"," 16.7","  0.0"
"COLEGIO LINDAVISTA",MATUTINO,"GUSTAVO A. MADERO",LINDAVISTA,PRIVADO,"BACHILLERATO GENERAL",15,12,"  8.3"," 25.0"," 66.7","  0.0","  8.3"," 75.0"," 16.7","  0.0"
"BACHILLERATO SARA ALARCON",MATUTINO,"MIGUEL HIDALGO",GRANADA,PRIVADO,"BACHILLERATO GENERAL",19,19,"  0.0"," 21.1"," 63.2"," 15.8"," 21.1"," 31.6"," 31.6"," 15.8"
"PREPARATORIA CATOLICA LUMEN GENTIUM",MATUTINO,XOCHIMILCO,"SAN FELIPE TULYEHUALCO",PRIVADO,"BACHILLERATO GENERAL",21,18,"  0.0"," 31.3"," 62.5","  6.3"," 27.8"," 38.9"," 22.2"," 11.1"
"PREPARATORIA ELENA JACKSON FISKEHUNT",VESPERTINO,COYOACAN,AJUSCO,PRIVADO,"BACHILLERATO GENERAL",9,8," 37.5"," 50.0"," 12.5","  0.0"," 50.0"," 25.0"," 12.5"," 12.5"
"PREPARATORIA NUEVA ACADEMIA DE FORMACION INTEGRAL",MATUTINO,"GUSTAVO A. MADERO","UNIDAD INDUSTRIAL VALLEJO",PRIVADO,"BACHILLERATO GENERAL",20,19," 33.3"," 33.3"," 33.3","  0.0"," 42.1"," 47.4"," 10.5","  0.0"
"PREPARATORIA LA SALLE SIMON BOLIVAR",MATUTINO,"ALVARO OBREGON",FLORIDA,PRIVADO,"BACHILLERATO GENERAL",66,57,"  1.8"," 19.6"," 67.9"," 10.7","  9.1"," 29.1"," 41.8"," 20.0"
"JERONIMO MARIANO USERA Y ALARCON",MATUTINO,"GUSTAVO A. MADERO","CUAUTEPEC BARRIO ALTO",PRIVADO,"BACHILLERATO GENERAL",20,20," 15.0"," 15.0"," 60.0"," 10.0"," 25.0"," 30.0"," 25.0"," 20.0"
"CENTRO EDUCATIVO JOSE VASCONCELOS",VESPERTINO,"CUAJIMALPA DE MORELOS","CLUB DE GOLF PRADOS DE LA MONTAÑA",PRIVADO,"BACHILLERATO GENERAL",46,45,"  2.2"," 11.1"," 62.2"," 24.4","  2.2"," 44.4"," 26.7"," 26.7"
"BACHILLERATO CENTRO EDUCATIVO EMMANUEL MOUNIER",MATUTINO,"CUAJIMALPA DE MORELOS","JESUS DEL MONTE",PRIVADO,"BACHILLERATO GENERAL",16,12," 33.3"," 33.3"," 33.3","  0.0"," 25.0"," 41.7"," 16.7"," 16.7"
"BACHILLERATO ISABEL GRASSETEAU",MATUTINO,"ALVARO OBREGON","ALFONSO XIII",PRIVADO,"BACHILLERATO GENERAL",12,12," 30.0"," 30.0"," 40.0","  0.0"," 25.0"," 50.0","  8.3"," 16.7"
